SRCHWRD_NM,SRCHWRD_MENTN_CO,ORIGIN_CL_NM,REPRSNT_KWRD_NM,REPRSNT_KWRD_MENTN_CO,ALL_KWRD_CN,ALL_KWRD_CO,NTCE_YM
산방산,35,페이스북,제주맛집,32,제주맛집/제주도맛집/제주공항근처맛집/제주시맛집/애월맛집/중문맛집/제주공항맛집/서귀포맛집/산방산맛집/신제주맛집/제주여행/제주핫플/서귀포가볼만한곳/제주자전거학교/졸띠유채밭/산방산유채꽃/성읍민속마을/녹산로유채꽃도로/엉덩물계곡/별방진/함덕서우봉/우도검멀레해수욕장/성산일출봉/광치기해변/연남물갈비/서귀포핫플/서귀포여행/제주가볼만한곳/제주소품샵/서귀포소품샵/예술상점꺄르르/산방산탄산온천/서귀포/제주온천/제주포토존/사계가볼만한곳/제주도/제주데이트코스/해녀삼춘/엉알해안,40,202212
카멜리아힐,2,페이스북,에코랜드,2,에코랜드/숨도/선녀와나무꾼/메이즈랜드/일출랜드/상효원/세리월드/힙플레이스/국내여행/허브동산/동백포레스트/동박낭/동백수목원/호근동동백꽃/렌시아/정신문화연구원,16,202212
성산일출봉,6,페이스북,광치기해변,4,광치기해변/성산맛집/성산가볼만한곳/사계해안/한라산/제주여행/제주데이트/제주데이트코스/성산카페/성산일출봉맛집/졸띠유채밭/산방산유채꽃/성읍민속마을/녹산로유채꽃도로/엉덩물계곡/별방진/함덕서우봉/우도검멀레해수욕장/비양도/힙플레이스/국내여행/여행추천/제주여행추천/베릿내오름/지미봉/표선해수욕장/닭머르해안길/대수산봉/섭지코지/협재해수욕장/제주맛집/제주여행코스/제주갈치추천/제주갈치/갈치구이/갈치조림/제주갈치구이/월정리해변/윗세오름/우도/금오름,41,202212
스누피가든,1,페이스북,목장카페드르쿰다,2,목장카페드르쿰다/에오마르/제주여행/서귀포/서귀포가볼만한곳/서귀포카페/제주동족가볼만한곳,7,202212
빛의벙커,1,페이스북,수풍석뮤지엄,1,수풍석뮤지엄/노형수퍼마켙/제주현대미술관/포도/아르떼뮤지엄제주/제주신화월드,6,202212
금오름,1,페이스북,월정리해변,1,월정리해변/광치기해변/한라산/윗세오름/우도/성산일출봉/사계해안,7,202212
용머리해안,1,페이스북,협재해수욕장,1,협재해수욕장/산호해수욕장/황우지해안/표선해수욕장/하고수동해수욕장/함덕해수욕장/광치기해변/금능해수욕장/이호테우해수욕장,9,202212
비자림,0,페이스북,,0,,0,202212
천지연폭포,1,페이스북,선녀와나무꾼,1,선녀와나무꾼/상효원수목원/주상절리/제주레일바이크/제주아리랑혼/제주참숯가마/한림공원/힙플레이스/국내여행,9,202212
천제연폭포,0,페이스북,,0,,0,202212
새별오름,0,페이스북,,0,,0,202212
제주실탄사격장,0,페이스북,,0,,0,202212
테디베어뮤지엄제주,0,페이스북,,0,,0,202212
여미지식물원,0,페이스북,,0,,0,202212
