SOURCE,place,count
JT_SNS_KWRD_STATS_LIST_202206,성산,439
JT_SNS_KWRD_STATS_LIST_202206,산방산,245
JT_SNS_KWRD_STATS_LIST_202206,제주카페,154
JT_SNS_KWRD_STATS_LIST_202206,제주성산,109
JT_SNS_KWRD_STATS_LIST_202206,제주도카페,100
JT_SNS_KWRD_STATS_LIST_202206,한라산,81
JT_SNS_KWRD_STATS_LIST_202206,제주바,78
JT_SNS_KWRD_STATS_LIST_202206,천지연폭포,78
JT_SNS_KWRD_STATS_LIST_202206,함덕해수욕장,69
JT_SNS_KWRD_STATS_LIST_202206,협재해수욕장,66
JT_SNS_KWRD_STATS_LIST_202206,제주산,61
JT_SNS_KWRD_STATS_LIST_202206,애월카페,60
JT_SNS_KWRD_STATS_LIST_202206,송악산,56
JT_SNS_KWRD_STATS_LIST_202206,동문시장,50
JT_SNS_KWRD_STATS_LIST_202206,올레시장,50
JT_SNS_KWRD_STATS_LIST_202206,정방폭포,49
JT_SNS_KWRD_STATS_LIST_202206,서귀포카페,48
JT_SNS_KWRD_STATS_LIST_202206,천제연폭포,45
JT_SNS_KWRD_STATS_LIST_202206,김녕해수욕장,44
JT_SNS_KWRD_STATS_LIST_202206,방산,40
JT_SNS_KWRD_STATS_LIST_202206,곽지해수욕장,38
JT_SNS_KWRD_STATS_LIST_202206,사계해변,37
JT_SNS_KWRD_STATS_LIST_202206,금능해수욕장,36
JT_SNS_KWRD_STATS_LIST_202206,광치기해변,35
JT_SNS_KWRD_STATS_LIST_202206,이호테우해변,34
JT_SNS_KWRD_STATS_LIST_202206,제주동문시장,34
JT_SNS_KWRD_STATS_LIST_202206,제주호텔,30
JT_SNS_KWRD_STATS_LIST_202206,한림공원,29
JT_SNS_KWRD_STATS_LIST_202206,제주펜션,29
JT_SNS_KWRD_STATS_LIST_202206,제주동쪽카페,27
JT_SNS_KWRD_STATS_LIST_202206,내돈내산,27
JT_SNS_KWRD_STATS_LIST_202206,제주술집,26
JT_SNS_KWRD_STATS_LIST_202206,한담해안산,26
JT_SNS_KWRD_STATS_LIST_202206,서귀포올레시장,25
JT_SNS_KWRD_STATS_LIST_202206,표선해수욕장,25
JT_SNS_KWRD_STATS_LIST_202206,제주신상카페,24
JT_SNS_KWRD_STATS_LIST_202206,한담해변,24
JT_SNS_KWRD_STATS_LIST_202206,제주도바,24
JT_SNS_KWRD_STATS_LIST_202206,제주커피,24
JT_SNS_KWRD_STATS_LIST_202206,제주시카페,24
JT_SNS_KWRD_STATS_LIST_202206,여미지식물원,23
JT_SNS_KWRD_STATS_LIST_202206,제주횟집,22
JT_SNS_KWRD_STATS_LIST_202206,탄산,21
JT_SNS_KWRD_STATS_LIST_202206,일몰,21
JT_SNS_KWRD_STATS_LIST_202206,월정리해수욕장,21
JT_SNS_KWRD_STATS_LIST_202206,한림카페,21
JT_SNS_KWRD_STATS_LIST_202206,제주도게스트하우스,21
JT_SNS_KWRD_STATS_LIST_202206,제주도펜션,21
JT_SNS_KWRD_STATS_LIST_202206,휴애리자연생활공원,20
JT_SNS_KWRD_STATS_LIST_202206,월정리해변,20
JT_SNS_KWRD_STATS_LIST_202212,성산,380
JT_SNS_KWRD_STATS_LIST_202212,산방산,229
JT_SNS_KWRD_STATS_LIST_202212,제주카페,147
JT_SNS_KWRD_STATS_LIST_202212,한라산,103
JT_SNS_KWRD_STATS_LIST_202212,제주도카페,89
JT_SNS_KWRD_STATS_LIST_202212,제주성산,81
